user_screen_name,lang,hashtag,user_id,score,astroturf,fake_follower,financial,other,overall,self_declared,spammer,most_recent_post_time,recent_tweets_per_week,number_of_tweets,following,followers,numberOfLikes,vi,in,en,ja,und,zh,ko,es,pt,tr,ht,de,fr,fa,ar,th,nl,it,bn,hi
taren1013,ko,#bts,1184495224736731137,0.85,0.15,0.55,0.32,0.85,0.85,0.0,0.08,0.8758740762468893,0.005712699589306488,0.022915993836986507,0.007642004410311003,2.8927831259827715e-05,0.035535953586091434,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KimAnnybts,pt,#bts,1402375951313420289,0.86,0.12,0.34,0.22,0.86,0.86,0.03,0.09,0.8676155736179582,0.006188890825135364,0.0019785979527255507,0.014029351380123185,0.0002148924607872916,0.0021997344223075505,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ku92394244,ja,#bts,1391527924398903299,0.93,0.1,0.78,0.33,0.93,0.93,0.17,0.12,0.8747988481275765,0.00016507169190007993,0.0005986854450505053,0.00342179301954224,2.066273661416265e-06,0.008184377739760688,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIKO60374210,es,#bts,1314772296041672704,0.85,0.01,0.85,0.39,0.81,0.85,0.03,0.24,0.8404625152578938,2.9357189688850223e-05,0.00010339769946501264,0.004942589917116569,2.066273661416265e-06,0.0013815405213273033,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sgrm_1209,en,#bts,1104027025545678848,0.92,0.07,0.32,0.31,0.92,0.92,0.0,0.09,0.8755831117587503,0.003569839028076545,0.02502096675572485,0.01349707246597217,0.0001487717036219711,0.054818991365676584,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuyu1408_,en,#bts,851900822065643520,0.74,0.22,0.43,0.31,0.74,0.74,0.03,0.06,0.8747179458064842,0.020950819135830526,0.23383964165676305,0.007984183712265227,0.0004215198269289181,0.23429366454537806,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atora_rmy,ja,#bts,1200656326260445185,0.86,0.06,0.77,0.38,0.86,0.86,0.13,0.14,0.8765149866424433,0.0012841210960979391,0.004378445792160412,0.006007147745418599,1.2397641968497592e-05,0.04113405820516791,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SsSninggggggg,en,#bts,1181048900242690048,0.81,0.03,0.48,0.13,0.81,0.81,0.03,0.1,0.8671124968064873,0.0015460262758038212,0.0051954152694148326,0.01391529161280511,2.272901027557892e-05,0.00584319697987682,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JJKXECO,ja,#bts,3649306459,0.96,0.14,0.42,0.32,0.96,0.96,0.05,0.06,0.8767274143744342,0.0013317402196808268,0.0003842309572712198,0.0009504980609839555,1.653018929133012e-05,0.016244380251652545,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mickablenv7,en,#bts,1417830223580631041,0.78,0.22,0.31,0.1,0.78,0.78,0.05,0.11,0.8740798740888632,0.01190318565508188,0.004920964585649676,0.009352900920082122,0.0001776995348817988,0.006249245517919178,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hopeval97230059,en,#bts,1313793573620535297,0.79,0.09,0.4,0.41,0.79,0.79,0.0,0.14,0.6223101161019274,0.0010936446017663886,0.001452673851743017,0.0026233746483157174,6.198820984248795e-05,0.0008901364347475122,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17Hoody,en,#bts,1455101807051476993,0.83,0.07,0.35,0.53,0.83,0.83,0.02,0.04,0.8761786033073752,0.006903177678878679,0.0010109997281023458,0.002509314880997643,2.0662736614162654e-05,0.002431413768337725,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
francis_maite,ko,#bts,1400205007773962241,0.73,0.11,0.67,0.41,0.73,0.73,0.22,0.06,0.8762390040656176,0.0004745959951888495,0.0004748635086541321,0.0004942589917116569,0.0,0.0008413618355832649,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
